file_id	md5	size	urls	sample_id
745297f7a7f28d0d15d5060e7b1f09f3	05599ffe2688cb6d14cdfa4aa81e6824	34447360	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP643672_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c15592361
745297f7a7f28d0d15d5060e7b331be7	405402c8503c64ef1a0933aa86065f97	70860800	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP804124_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c1518778c
69c6b9398e0e2e889eb127933f63b41d	fa0800742d34328e962895b44ac07855	1198080	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP994895_K10_MRCD.rawseqset.tar	76612bd9a41885add4f6b0b768dd22e6
745297f7a7f28d0d15d5060e7b08593d	bf02272342ea05774c62c59d538dda17	38676480	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP364626_K10_MRCD.rawseqset.tar	858ed4564f11795ec13dda4c10f0cbc6
6d91411d5ede0689305232cc77559c51	5bf88cf7f33b7c64c2769d1c8fb01ef0	46120960	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP663155_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c154a3e83
69c6b9398e0e2e889eb127933faa9122	80abe00500b52fe3266c1c739a98a51b	53483520	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP569649_K10_MRCD.rawseqset.tar	76612bd9a41885add4f6b0b768b7c2e3
745297f7a7f28d0d15d5060e7b876c04	9f3dc1acd4d849c007d75591cf2dcf14	50698240	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP837596_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c1529632c
745297f7a7f28d0d15d5060e7b610691	404f78f38bbe4320aa548eb2db498ff6	3491840	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP547297_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c150d5c61
69c6b9398e0e2e889eb127933faceffc	716097d66300dd2b5dab2293d699b0fe	61460480	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP292135_K10_MRCD.rawseqset.tar	76612bd9a41885add4f6b0b7689a09c0
745297f7a7f28d0d15d5060e7b508f64	e1ce3b2a0c923cfb2f9f37ae3891000f	70318080	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP439098_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c155cfc5b
745297f7a7f28d0d15d5060e7b1cfd3f	c1b0b22324847567b0e91a4a630cef84	52398080	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP949081_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c1505c046
745297f7a7f28d0d15d5060e7b7027bc	d508934e5ecf0a1c1b54dbb67cc2299a	78110720	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP201349_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c1545ddc1
69c6b9398e0e2e889eb127933fa6b940	fcf4e6ae79761d156099faf9a700ca15	3778560	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP607978_K10_MRCD.rawseqset.tar	76612bd9a41885add4f6b0b768bb5a34
745297f7a7f28d0d15d5060e7b5feecb	866df5f27ff4a75da31bc2e8bd9c1ee5	1515520	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP145184_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c1510e1e1
745297f7a7f28d0d15d5060e7b34fb24	bfa2e208e0a680c27c5ea3bc948c2e9c	37283840	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP622928_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c153814e1
745297f7a7f28d0d15d5060e7b0cf141	233bc59b22e32f2d5b91bff4ae9a57e5	70471680	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP424615_K10_MRCD.rawseqset.tar	858ed4564f11795ec13dda4c10f61c2f
745297f7a7f28d0d15d5060e7b20eb26	b57ff7a2c9c27d90ab1bdde451e091db	12544000	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP438739_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c15280dd4
6d91411d5ede0689305232cc773aafa8	6f7a71699ac0951edfbd1bc62f8cf0cb	215040	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP222037_K10_MRCD.rawseqset.tar	858ed4564f11795ec13dda4c10f2a05a
6d91411d5ede0689305232cc772ee7c3	3c306ae0f06bbf6a710461495e0c3f3d	30095360	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP959101_K10_MRCD.rawseqset.tar	e50d0c183689e4053ccb35f8b2e39dbd
745297f7a7f28d0d15d5060e7b2f17c6	afe0f63f8db85be3c539dfa5497c1063	41164800	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP238282_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c154029bb
745297f7a7f28d0d15d5060e7b7bd9a0	5abb0690d690302be9b293291a9513a8	1525760	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP584193_K10_MRCD.rawseqset.tar	8938ac880f194a32bc6b736c151dd71d
